Combination,Model,Max Tokens,Temperature,Context,Prompt,Response,Word Count,,Simple Context,Simple Prompt,,,,,,,,
Combination 1,gpt-3.5-turbo,25,0,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"Experienced 3rd year computer science student proficient in full stack web development, AI, machine learning. Skilled in Python",18,,C1,P1,C1_P1,,,,,,,
Combination 2,gpt-4-turbo,25,0,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"As a 3rd year computer science student, I specialize in full stack development, AI, and machine learning, with proficiency",19,,C1,P1,C1_P1,,,,,,,
Combination 3,gpt-3.5-turbo,50,0,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"Experienced 3rd year computer science student proficient in full stack web development, AI, machine learning. Skilled in Python, C++, Java, GitHub, PostgreSQL, Unity. Strong communicator and leader in STEM education.",30,,C1,P1,C1_P1,,,,,,,
Combination 4,gpt-4-turbo,50,0,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"As a 3rd year computer science student, I specialize in full stack development, AI, and machine learning, with proficiency in Python, C++, Java, and various technical tools. I also lead STEM education initiatives.",33,,C1,P1,C1_P1,,,,,,,
Combination 5,gpt-3.5-turbo,100,0,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"Experienced 3rd year computer science student proficient in full stack web development, AI, machine learning. Skilled in Python, C++, Java, GitHub, PostgreSQL, Unity. Strong communicator and leader in STEM education.",30,,C1,P1,C1_P1,,,,,,,
Combination 6,gpt-4-turbo,100,0,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"As a 3rd year computer science student, I specialize in full stack development, AI, and machine learning, with proficiency in Python, C++, Java, and various technical tools. I also lead STEM education initiatives.",33,,C1,P1,C1_P1,,,,,,,
Combination 7,gpt-3.5-turbo,25,0.5,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"3rd year computer science student with expertise in full stack web development, AI, machine learning, Python, C++, Java,",18,,C1,P1,C1_P1,,,,,,,
Combination 8,gpt-4-turbo,25,0.5,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"As a 3rd year computer science student, I specialize in full stack development, AI, and machine learning, possessing strong",19,,C1,P1,C1_P1,,,,,,,
Combination 9,gpt-3.5-turbo,50,0.5,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"3rd year computer science student with expertise in full stack web development, AI, machine learning, Python, C++, Java, GitHub, PostgreSQL, Unity. Skilled in communication, leadership, and STEM education initiatives.",29,,C1,P1,C1_P1,,,,,,,
Combination 10,gpt-4-turbo,50,0.5,"You are a concise assistant, skilled in rewriting descriptions succinctly.",Rewrite this description with 30 words or less:,"As a 3rd year computer science student, I specialize in full stack web development, AI, and machine learning, with proficiency in Python, C++, and Java. I excel in leading STEM education initiatives, enhancing team creativity and problem-solving skills.",38,,C1,P1,C1_P1,,,,,,,
